WORK_CATEGORY,ACTIVITY_NAME,STATE_NAME,HOUSE_OF_PARLIAMENT,IDA_NAME,TENURE,MP_NAME,WORK_DESCRIPTION,RECOMMENDATION_DATE,RECOMMENDED_AMOUNT,FLAG,CONSTITUENCY_ID,WORK_STAGE,LETTER_NO,SANCTION_AMOUNT,Sno,CONSTITUENCY,WORK_RECOMMENDATION_DTL_ID,FILE_STATUS,TENURE_START_DATE,TENURE_END_DATE,ATTACH_ID,SANCTION_DATE,Total_Amt,SANCTION_AMOUNT_sanctioned,SANCTION_DATE_sanctioned,ACTUAL_AMOUNT,ACTUAL_END_DATE,AVERAGE_RATING,total_expenditure,payment_count,first_payment_date,last_payment_date,expenditure_ratio,amount_difference,recommendation_to_sanction_days,sanction_to_payment_days,sanction_to_completion_days,payment_duration_days,actual_amount_difference,data_completeness,data_confidence_pct,anomaly_score,anomaly_score_100,anomaly_prediction,ACTIVITY_TYPE,peer_count,peer_average_amount,peer_amount_difference,peer_amount_deviation_pct,VENDOR_NAME,vendor_project_count,vendor_total_expenditure,vendor_payment_count,vendor_expenditure_share_pct,project_text,max_project_similarity_pct,similar_project_id,potential_duplicate,rule_risk_score,risk_reasons,ml_risk_component,peer_risk_component,rule_risk_component,final_risk_score,risk_level
Normal/Others,WS/MP18016/2026-2027/285880-Construction of public irrigation facilities,Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,"construction of two vents 1000 mm dia.pipe culvert on Manilla Vagu of gollamandala village, A.Kondur Mandal, ",2026-06-15,500000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/10,500000.0,11.0,VIJAYAWADA,285880.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,2026-08-29,,500000.0,29-Aug-2026,,,,,,,,,,75.0,,,,,0.2857142857142857,28.57142857142857,0.8522984950172127,85.22984950172126,-1,Construction of public irrigation facilities,3.0,2325000.0,-1825000.0,-78.49462365591397,,,,,,construction of public irrigation facilities construction of two vents 1000 mm dia pipe culvert on manilla vagu of gollamandala village a kondur mandal,62.7906976744186,251883.0,False,0,Anomaly Score: 85.2/100; Low data confidence (28.6%); ,40.0,0.0,0,40.0,Medium
Normal/Others,"WS/MP18016/2026-2027/292111-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,providing pre fab shed for patient attendants and extension of shed in front of mch entrance at old government general hospital vijayawada,2026-07-04,1550000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/12,1550000.0,12.0,VIJAYAWADA,292111.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,2026-08-06,,1550000.0,06-Aug-2026,,,,,,,,,,33.0,,,,,0.2857142857142857,28.57142857142857,0.8303472615975047,83.03472615975048,1,"Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",1.0,720000.0,830000.0,115.27777777777777,,,,,,construction of rooms and facilities for hospitals fwc phc centers and anm centers providing pre fab shed for patient attendants and extension of shed in front of mch entrance at old government general hospital vijayawada,89.97772828507794,292113.0,False,0,Anomaly Score: 83.0/100; Low data confidence (28.6%); ,11.611611739190588,0.0,0,11.611611739190588,Low
Normal/Others,"WS/MP18016/2026-2027/292113-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,providing pre fab shed for patient attendants and extension of shed in front of forensic department at new government general hospital  vijayawada,2026-07-04,720000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/13,720000.0,13.0,VIJAYAWADA,292113.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,2026-08-06,,720000.0,06-Aug-2026,,,,,,,,,,33.0,,,,,0.2857142857142857,28.57142857142857,0.839424052875596,83.9424052875596,1,"Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",1.0,1550000.0,-830000.0,-53.5483870967742,,,,,,construction of rooms and facilities for hospitals fwc phc centers and anm centers providing pre fab shed for patient attendants and extension of shed in front of forensic department at new government general hospital vijayawada,73.05122494432071,292111.0,False,0,Anomaly Score: 83.9/100; Low data confidence (28.6%); ,23.35015371712975,0.0,0,23.35015371712975,Low
Normal/Others,WS/MP18016/2026-2027/301023-Construction of community centers and community halls,Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,construction of mahila bar association building at the bezawada bar association ,2026-08-03,3000000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/14,3000000.0,14.0,VIJAYAWADA,301023.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,2026-08-29,,3000000.0,29-Aug-2026,,,,,,,,,,26.0,,,,,0.2857142857142857,28.57142857142857,0.8258457382149845,82.58457382149845,1,Construction of community centers and community halls,2.0,7500000.0,-4500000.0,-60.0,,,,,,construction of community centers and community halls construction of mahila bar association building at the bezawada bar association,71.42857142857143,251879.0,False,0,Anomaly Score: 82.6/100; Low data confidence (28.6%); ,5.790025721460773,0.0,0,5.790025721460773,Low
Normal/Others,NA-Construction of community centers and community halls,Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,construction of community hall at balusupadu,2026-08-06,1800000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/15,1800000.0,15.0,VIJAYAWADA,301703.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,,,,,,,,,,,,,,,,,,,0.14285714285714285,14.285714285714285,0.821368618733941,82.1368618733941,1,,,,,,,,,,,construction of community hall at balusupadu,82.66666666666667,301755.0,False,0,Anomaly Score: 82.1/100; Low data confidence (14.3%); ,0.0,,0,,Low
Normal/Others,NA-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,improvements to sc burial ground,2026-08-06,600000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/16,600000.0,16.0,VIJAYAWADA,301713.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,,,,,,,,,,,,,,,,,,,0.14285714285714285,14.285714285714285,0.8339661404782899,83.39661404782899,1,,,,,,,,,,,improvements to sc burial ground,61.72839506172839,301742.0,False,0,Anomaly Score: 83.4/100; Low data confidence (14.3%); ,16.291719538706634,,0,,Low
Normal/Others,NA-Construction of community centers and community halls,Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,construction of sc community hall at penuganchiprolu,2026-08-06,1800000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/17,1800000.0,17.0,VIJAYAWADA,301733.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,,,,,,,,,,,,,,,,,,,0.14285714285714285,14.285714285714285,0.821368618733941,82.1368618733941,1,,,,,,,,,,,construction of sc community hall at penuganchiprolu,77.08333333333334,301703.0,False,0,Anomaly Score: 82.1/100; Low data confidence (14.3%); ,0.0,,0,,Low
Normal/Others,NA-Construction of public irrigation facilities,Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,construction of slab culvert as sc colony,2026-08-06,280000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/18,280000.0,18.0,VIJAYAWADA,301740.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,,,,,,,,,,,,,,,,,,,0.14285714285714285,14.285714285714285,0.8348733219023889,83.48733219023889,1,,,,,,,,,,,construction of slab culvert as sc colony,55.55555555555556,301742.0,False,0,Anomaly Score: 83.5/100; Low data confidence (14.3%); ,17.464930082183287,,0,,Low
Normal/Others,NA-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,construction of compound wall to sc burial ground,2026-08-06,600000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/19,600000.0,19.0,VIJAYAWADA,301742.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,,,,,,,,,,,,,,,,,,,0.14285714285714285,14.285714285714285,0.8339661404782899,83.39661404782899,1,,,,,,,,,,,construction of compound wall to sc burial ground,70.96774193548387,301703.0,False,0,Anomaly Score: 83.4/100; Low data confidence (14.3%); ,16.291719538706634,,0,,Low
Normal/Others,NA-Providing drains and gutters for public drainage,Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,construction of cc drain from sump well to ramaraju cheruvu,2026-08-06,720000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/20,720000.0,20.0,VIJAYAWADA,301744.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,,,,,,,,,,,,,,,,,,,0.14285714285714285,14.285714285714285,0.8339661404782899,83.39661404782899,1,,,,,,,,,,,construction of cc drain from sump well to ramaraju cheruvu,80.59701492537313,301752.0,False,0,Anomaly Score: 83.4/100; Low data confidence (14.3%); ,16.291719538706634,,0,,Low
Normal/Others,NA-Construction of public irrigation facilities,Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,construction of culvert near kotta rambabu field opp ramaraju cheruvu,2026-08-06,80000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/21,80000.0,21.0,VIJAYAWADA,301748.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,,,,,,,,,,,,,,,,,,,0.14285714285714285,14.285714285714285,0.8357814901508882,83.57814901508883,1,,,,,,,,,,,construction of culvert near kotta rambabu field opp ramaraju cheruvu,67.1875,301744.0,False,0,Anomaly Score: 83.6/100; Low data confidence (14.3%); ,18.639416834321306,,0,,Low
Normal/Others,NA-Providing drains and gutters for public drainage,Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,construction of cc drains from chukkapalli nageswararao to ramaraju cheruvu,2026-08-06,400000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/22,400000.0,22.0,VIJAYAWADA,301752.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,,,,,,,,,,,,,,,,,,,0.14285714285714285,14.285714285714285,0.8348733219023889,83.48733219023889,1,,,,,,,,,,,construction of cc drains from chukkapalli nageswararao to ramaraju cheruvu,80.59701492537313,301744.0,False,0,Anomaly Score: 83.5/100; Low data confidence (14.3%); ,17.464930082183287,,0,,Low
Normal/Others,NA-Construction of community centers and community halls,Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,construction of community halls,2026-08-06,720000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/23,720000.0,23.0,VIJAYAWADA,301755.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,,,,,,,,,,,,,,,,,,,0.14285714285714285,14.285714285714285,0.8339661404782899,83.39661404782899,1,,,,,,,,,,,construction of community halls,82.66666666666667,301703.0,False,0,Anomaly Score: 83.4/100; Low data confidence (14.3%); ,16.291719538706634,,0,,Low
Repair and Renovation,"NA-Construction of roads, link roads, pathways or any other road with or without drainage system",Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,metalling to the road from bharothu raghu field to bharothu balaji field in kesya thanda village of a.konduru mandal,2026-08-11,1480000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/24,1480000.0,24.0,VIJAYAWADA,303011.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,,,,,,,,,,,,,,,,,,,0.14285714285714285,14.285714285714285,0.8312505064352878,83.12505064352878,1,,,,,,,,,,,metalling to the road from bharothu raghu field to bharothu balaji field in kesya thanda village of a konduru mandal,57.14285714285714,312412.0,False,0,Anomaly Score: 83.1/100; Low data confidence (14.3%); ,12.779731300369113,,0,,Low
Normal/Others,"NA-Construction of roads, link roads, pathways or any other road with or without drainage system",Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,reconstruction of the road from mnk road to thokapalli,2026-08-11,2200000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/25,2200000.0,25.0,VIJAYAWADA,303016.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,,,,,,,,,,,,,,,,,,,0.14285714285714285,14.285714285714285,0.8222620966787723,82.22620966787723,1,,,,,,,,,,,reconstruction of the road from mnk road to thokapalli,57.14285714285714,303733.0,False,0,Anomaly Score: 82.2/100; Low data confidence (14.3%); ,1.1554885466057088,,0,,Low
Normal/Others,NA-Construction of additional rooms and halls in the existing public and community building,Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,improvement of bc community hll at back side of ayyappa swami temple in 10th ward tiruvuru nagara panchayat,2026-08-11,1722000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/26,1722000.0,26.0,VIJAYAWADA,303017.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,,,,,,,,,,,,,,,,,,,0.14285714285714285,14.285714285714285,0.8222620966787723,82.22620966787723,1,,,,,,,,,,,improvement of bc community hll at back side of ayyappa swami temple in 10th ward tiruvuru nagara panchayat,42.76729559748428,301733.0,False,0,Anomaly Score: 82.2/100; Low data confidence (14.3%); ,1.1554885466057088,,0,,Low
Normal/Others,NA-Construction of community centers and community halls,Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,construction of community hall in bc colony in vutukuru village of gampalagudem mandal,2026-08-11,1600000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/27,1600000.0,27.0,VIJAYAWADA,303018.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,,,,,,,,,,,,,,,,,,,0.14285714285714285,14.285714285714285,0.8258457382149845,82.58457382149845,1,,,,,,,,,,,construction of community hall in bc colony in vutukuru village of gampalagudem mandal,60.0,301703.0,False,0,Anomaly Score: 82.6/100; Low data confidence (14.3%); ,5.790025721460773,,0,,Low
Normal/Others,"NA-Construction of roads, link roads, pathways or any other road with or without drainage system",Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,construction of cc roads in 5 and 6 wards in vissannapeta,2026-08-13,840000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/28,840000.0,28.0,VIJAYAWADA,303732.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,,,,,,,,,,,,,,,,,,,0.14285714285714285,14.285714285714285,0.8339661404782899,83.39661404782899,1,,,,,,,,,,,construction of cc roads in 5 and 6 wards in vissannapeta,92.5925925925926,303733.0,True,10,Anomaly Score: 83.4/100; Potentially similar to project 303733 with 92.6% text similarity; Low data confidence (14.3%); ,16.291719538706634,,10,,Low
Normal/Others,"NA-Construction of roads, link roads, pathways or any other road with or without drainage system",Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,construction of cc roads in 7 wards in vissannapeta,2026-08-13,820000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/29,820000.0,29.0,VIJAYAWADA,303733.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,,,,,,,,,,,,,,,,,,,0.14285714285714285,14.285714285714285,0.8339661404782899,83.39661404782899,1,,,,,,,,,,,construction of cc roads in 7 wards in vissannapeta,92.5925925925926,303732.0,True,10,Anomaly Score: 83.4/100; Potentially similar to project 303732 with 92.6% text similarity; Low data confidence (14.3%); ,16.291719538706634,,10,,Low
